Name of the Nucleophile,Nucleophile ID Number,Type Of Nucleophile,Solvent,N,sN,EHF,EDFT,ECORR,EHF(HOMO),EDFT(HOMO),ECORR(HOMO),EHF(LUMO),EDFT(LUMO),ECORR(LUMO),cHF,cDFT,cCORR,hHF,hDFT,hCORR,mHF,mDFT,mCORR,wHF,wDFT,wCORR,dHF,dDFT,dCORR,HHF,HDFT,HCORR,GHF,GDFT,GCORR,NBOHF,NBODFT,NBOCORR,Mol.Mass,Surface Area,Volume,Ovality,Diameter,RG,E*DFT,E*HF,E*CORR,E*DFT(HOMO),E*HF(HOMO),E*CORR(HOMO),E*DFT(LUMO),E*HF(LUMO),E*CORR(LUMO),c*DFT,c*HF,c*CORR,h*DFT,h*HF,h*CORR,m*DFT,m*HF,m*CORR,w*DFT,w*HF,w*CORR,d*DFT,d*HF,d*CORR,H*DFT,H*HF,H*CORR,G*DFT,G*HF,G*CORR
"2-Methyl-4,5-dihydro-1,3-oxazole ",N11,N-Nucleophile,Dichloromethane,9.810,0.770,-284.927,-286.686,-1.759,-0.376,-0.251,0.125,0.161,0.020,-0.141,0.108,0.116,0.008,0.537,0.271,-0.266,-0.108,-0.116,-0.008,0.011,0.025,0.014,1.798,1.695,-0.103,-178716.790,-179825.573,-1108.783,-178739.546,-179848.637,-1109.092,-0.642,-0.557,0.085,85.104,144.182,139.623,1.108,7.473,1.566,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
1-Methyl-imidazole ,N12,N-Nucleophile,Water,9.910,0.550,-263.919,-265.606,-1.687,-0.325,-0.236,0.089,0.160,0.017,-0.143,0.083,0.110,0.027,0.485,0.253,-0.232,-0.083,-0.110,-0.027,0.007,0.024,0.017,5.380,5.274,-0.106,-165541.615,-166604.418,-1062.803,-165563.479,-166626.506,-1063.027,-0.451,-0.551,-0.100,82.104,139.069,134.454,1.096,7.716,1.537,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
2-Methyl-benzimidazole,N13,N-Nucleophile,DMSO,10.020,0.850,-416.625,-419.306,-2.681,-0.307,-0.232,0.075,0.119,-0.025,-0.144,0.094,0.129,0.035,0.426,0.207,-0.219,-0.094,-0.129,-0.035,0.010,0.040,0.030,5.058,4.987,-0.071,-261333.545,-263021.602,-1688.057,-261359.045,-263047.660,-1688.614,-0.628,-0.557,0.071,132.163,192.309,201.291,1.158,10.027,2.176,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
"1-(2-Methyl-4,5-dihydro-1H-imidazol-1-yl)ethanone ",N14,N-Nucleophile,Dichloromethane,10.030,0.750,-377.865,-380.185,-2.320,-0.358,-0.246,0.112,0.149,-0.024,-0.173,0.105,0.135,0.031,0.507,0.222,-0.285,-0.105,-0.135,-0.031,0.011,0.041,0.030,5.621,5.354,-0.267,-237019.997,-238481.898,-1461.901,-237046.421,-238508.048,-1461.627,-0.600,-0.496,0.104,112.130,166.111,171.728,1.112,8.498,1.947,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Theophylline anion ,N15,N-Nucleophile,Water,10.060,0.710,-636.993,-640.767,-3.774,-0.275,-0.190,0.085,0.160,0.002,-0.158,0.058,0.094,0.037,0.435,0.192,-0.243,-0.058,-0.094,-0.037,0.004,0.023,0.019,6.447,6.166,-0.281,-399612.502,-401987.790,-2375.287,-399642.492,-402018.668,-2376.176,-0.623,-0.579,0.044,179.156,207.633,223.677,1.165,9.851,2.343,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
"2,2,2-Trifluoroethylamine ",N16,N-Nucleophile,MeCN,10.130,0.750,-430.968,-433.038,-2.070,-0.417,-0.262,0.155,0.162,0.041,-0.121,0.128,0.111,-0.017,0.579,0.303,-0.276,-0.128,-0.111,0.017,0.014,0.020,0.006,4.093,3.888,-0.205,-270384.684,-271687.356,-1302.672,-270407.429,-271710.568,-1303.140,-0.853,-0.847,0.006,99.055,120.533,110.039,1.086,7.043,1.530,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
"2-Methyl-4,5-dihydrothiazole ",N17,N-Nucleophile,Dichloromethane,10.200,0.710,-607.578,-609.663,-2.085,-0.343,-0.237,0.106,0.143,-0.006,-0.149,0.100,0.122,0.022,0.486,0.231,-0.255,-0.100,-0.122,-0.022,0.010,0.032,0.022,1.076,0.969,-0.107,-381185.505,-382498.309,-1312.803,-381208.604,-382521.856,-1313.252,-0.572,-0.498,0.074,101.170,154.341,155.611,1.103,7.955,1.643,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
"2,5-Dimethyl-benzimidazole ",N18,N-Nucleophile,DMSO,10.210,0.850,-455.670,-458.632,-2.962,-0.300,-0.227,0.073,0.120,-0.023,-0.143,0.090,0.125,0.035,0.420,0.204,-0.216,-0.090,-0.125,-0.035,0.010,0.038,0.029,4.805,4.705,-0.100,-285815.382,-287681.215,-1865.833,-285843.536,-287710.136,-1866.599,-0.626,-0.557,0.069,146.189,214.543,229.234,1.185,11.015,2.427,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
Formohydrazide ,N19,N-Nucleophile,MeCN,10.350,0.760,-224.002,-225.290,-1.288,-0.409,-0.270,0.139,0.170,0.014,-0.156,0.120,0.128,0.008,0.579,0.284,-0.295,-0.120,-0.128,-0.008,0.012,0.029,0.017,3.338,3.082,-0.256,-140517.069,-141328.449,-811.379,-140537.247,-141349.128,-811.881,-0.499,-0.438,0.061,60.055,104.771,91.018,1.071,6.066,1.306,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
1-Methyl-benzimidazole ,N20,N-Nucleophile,MeCN,10.370,0.820,-416.609,-419.290,-2.681,-0.311,-0.234,0.077,0.114,-0.029,-0.143,0.099,0.132,0.033,0.425,0.205,-0.220,-0.099,-0.132,-0.033,0.011,0.042,0.031,5.278,5.194,-0.084,-261323.096,-263011.961,-1688.865,-261348.276,-263037.625,-1689.349,-0.472,-0.390,0.082,132.163,188.899,200.884,1.139,9.635,2.078,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Nicotine,N21,N-Nucleophile,Dichloromethane,10.400,1.040,-534.871,-538.432,-3.561,-0.333,-0.214,0.119,0.117,-0.031,-0.148,0.108,0.123,0.015,0.450,0.183,-0.267,-0.108,-0.123,-0.015,0.013,0.041,0.028,3.978,3.849,-0.129,-335459.505,-337704.570,-2245.065,-335490.501,-337736.463,-2245.962,-0.533,-0.482,0.051,176.258,242.458,288.860,1.148,10.579,2.505,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
tert-Butylamine ,N23,N-Nucleophile,Water,10.480,0.650,-212.387,-213.875,-1.488,-0.388,-0.244,0.144,0.150,0.034,-0.116,0.119,0.105,-0.014,0.538,0.278,-0.260,-0.119,-0.105,0.014,0.013,0.020,0.007,1.678,1.635,-0.043,-133171.628,-134111.122,-939.494,-133194.247,-134134.193,-939.947,-0.877,-0.872,0.005,73.137,149.096,155.107,1.068,6.726,1.514,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
4-Chloropyridine ,N24,N-Nucleophile,Water,10.500,0.730,-705.677,-707.973,-2.296,-0.363,-0.279,0.084,0.100,-0.046,-0.146,0.132,0.163,0.031,0.463,0.233,-0.230,-0.132,-0.163,-0.031,0.019,0.057,0.038,0.514,0.668,0.154,-442762.017,-444206.426,-1444.409,-442784.282,-444229.053,-1444.770,-0.538,-0.483,0.055,113.545,148.875,147.574,1.103,7.293,1.902,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Benzimidazole ,N25,N-Nucleophile,DMSO,10.500,0.790,-377.571,-379.972,-2.401,-0.313,-0.238,0.075,0.115,-0.029,-0.144,0.099,0.134,0.035,0.428,0.209,-0.219,-0.099,-0.134,-0.035,0.011,0.043,0.031,4.830,4.758,-0.072,-236846.007,-238357.373,-1511.366,-236868.837,-238380.613,-1511.775,-0.613,-0.544,0.069,118.136,167.693,172.481,1.119,8.993,1.907,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
5-Methyl-benzimidazole ,N27,N-Nucleophile,DMSO,10.690,0.790,-416.616,-419.299,-2.683,-0.306,-0.232,0.074,0.117,-0.026,-0.143,0.095,0.129,0.035,0.423,0.206,-0.217,-0.095,-0.129,-0.035,0.011,0.040,0.030,4.638,4.545,-0.093,-261327.985,-263017.121,-1689.137,-261353.511,-263043.238,-1689.727,-0.611,-0.544,0.067,132.163,189.919,200.458,1.147,9.993,2.171,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
Uracil anion ,N28,N-Nucleophile,Water,10.750,0.530,-412.103,-414.467,-2.364,-0.293,-0.196,0.097,0.151,-0.002,-0.153,0.071,0.099,0.028,0.444,0.194,-0.250,-0.071,-0.099,-0.028,0.006,0.025,0.020,3.348,2.906,-0.442,-258544.957,-260031.654,-1486.697,-258567.700,-260054.815,-1487.115,-0.731,-0.678,0.053,111.079,139.453,134.848,1.097,7.838,1.835,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
9-Methyl guanine anion ,N29,N-Nucleophile,Water,10.770,0.650,-578.101,-581.555,-3.454,-0.270,-0.181,0.089,0.168,0.017,-0.151,0.051,0.082,0.031,0.438,0.198,-0.240,-0.051,-0.082,-0.031,0.003,0.017,0.014,13.367,12.673,-0.694,-362669.073,-364842.148,-2173.075,-362697.085,-364871.050,-2173.965,-0.825,-0.708,0.117,164.145,198.767,206.608,1.176,9.822,2.315,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Saccharin anion ,N30,N-Nucleophile,MeCN,10.780,0.890,-944.173,-948.029,-3.856,-0.349,-0.234,0.115,0.091,-0.048,-0.139,0.129,0.141,0.012,0.440,0.186,-0.254,-0.129,-0.141,-0.012,0.019,0.053,0.035,13.315,12.289,-1.026,-592401.761,-594826.329,-2424.568,-592428.905,-594854.331,-2425.426,-1.058,-0.923,0.135,182.177,192.014,203.826,1.147,9.062,2.250,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
Glycinenitrile ,N31,N-Nucleophile,Water,10.800,0.610,-187.006,-188.159,-1.153,-0.422,-0.268,0.154,0.147,0.007,-0.140,0.138,0.131,-0.007,0.569,0.275,-0.294,-0.138,-0.131,0.007,0.017,0.031,0.014,6.040,5.789,-0.251,-117302.179,-118028.524,-726.345,-117322.111,-118048.689,-726.578,-0.832,-0.828,0.004,56.067,109.910,96.410,1.081,7.096,1.461,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
6-Methoxy-quinoline ,N32,N-Nucleophile,MeCN,10.860,0.660,-513.348,-516.586,-3.238,-0.302,-0.226,0.076,0.074,-0.064,-0.138,0.114,0.145,0.031,0.376,0.162,-0.214,-0.114,-0.145,-0.031,0.017,0.065,0.048,1.908,2.575,0.667,-322012.353,-324051.010,-2038.656,-322040.170,-324079.259,-2039.089,-0.524,-0.478,0.046,159.185,216.095,234.354,1.176,11.681,2.565,-132.801,-131.970,-0.831,-0.341,-0.475,0.134,0.029,0.156,-0.127,0.156,0.160,-0.004,0.370,0.631,-0.261,-0.156,-0.160,0.004,0.033,0.020,0.013,4.728,4.934,-0.206,-83302.890,-82779.224,-523.666,-83320.775,-82796.997,-523.778
3-Methylpyridine,N33,N-Nucleophile,Dichloromethane,10.900,0.930,-285.801,-287.680,-1.879,-0.339,-0.261,0.078,0.112,-0.035,-0.147,0.114,0.148,0.035,0.451,0.226,-0.225,-0.114,-0.148,-0.035,0.014,0.048,0.034,3.132,3.105,-0.027,-179261.182,-180444.667,-1183.486,-179284.164,-180468.002,-1183.838,-0.527,-0.479,0.048,93.126,155.591,157.018,1.106,8.241,1.743,-959.769,-958.050,-1.719,-0.317,-0.450,0.133,-0.024,0.135,-0.159,0.171,0.158,0.013,0.293,0.585,-0.292,-0.171,-0.158,-0.013,0.050,0.021,0.028,2.237,2.431,-0.194,-602243.077,-601163.243,-1079.834,-602262.364,-601182.385,-1079.979
Adenine anion ,N34,N-Nucleophile,Water,10.930,0.620,-464.154,-466.969,-2.815,-0.280,-0.196,0.084,0.150,0.001,-0.149,0.065,0.098,0.033,0.430,0.197,-0.233,-0.065,-0.098,-0.033,0.005,0.024,0.019,6.026,6.038,0.012,-291189.069,-292960.732,-1771.663,-291213.070,-292985.263,-1772.193,-0.681,-0.637,0.044,134.119,164.908,166.877,1.125,8.784,1.984,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Purine anion ,N35,N-Nucleophile,Water,11.000,0.540,-409.088,-411.580,-2.492,-0.296,-0.217,0.079,0.124,-0.022,-0.146,0.086,0.120,0.034,0.420,0.195,-0.225,-0.086,-0.120,-0.034,0.009,0.037,0.028,2.430,2.067,-0.363,-256647.311,-258215.200,-1567.889,-256669.598,-258237.890,-1568.292,-0.735,-0.634,0.101,119.104,149.334,148.424,1.102,8.777,1.839,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
5-Methoxy-benzimidazole ,N36,N-Nucleophile,DMSO,11.000,0.710,-491.479,-494.524,-3.045,-0.299,-0.216,0.083,0.111,-0.030,-0.141,0.094,0.123,0.029,0.410,0.186,-0.224,-0.094,-0.123,-0.029,0.011,0.041,0.030,6.227,5.934,-0.293,-308301.003,-310218.108,-1917.105,-308327.777,-310245.314,-1917.537,-0.613,-0.545,0.068,148.162,199.719,211.264,1.164,11.209,2.404,-553.272,-551.617,-1.655,-0.237,-0.369,0.132,0.028,0.154,-0.126,0.105,0.108,-0.003,0.265,0.523,-0.258,-0.105,-0.108,0.003,0.021,0.011,0.010,5.487,6.084,-0.597,-347129.964,-346087.646,-1042.318,-347152.046,-346109.226,-1042.820
Semicarbazide ,N37,N-Nucleophile,Water,11.050,0.520,-279.076,-280.684,-1.608,-0.412,-0.261,0.151,0.162,0.036,-0.126,0.125,0.113,-0.013,0.574,0.297,-0.277,-0.125,-0.113,0.013,0.014,0.021,0.008,3.898,3.993,0.095,-175064.481,-176077.004,-1012.523,-175086.280,-176099.703,-1013.424,-0.529,-0.825,-0.296,75.070,120.533,109.310,1.090,7.175,1.494,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
Pyridine ,N38,N-Nucleophile,Water,11.050,0.730,-246.756,-248.352,-1.596,-0.351,-0.268,0.083,0.113,-0.036,-0.149,0.119,0.152,0.033,0.464,0.232,-0.232,-0.119,-0.152,-0.033,0.015,0.050,0.035,2.958,2.896,-0.062,-154779.076,-155784.413,-1005.337,-154799.291,-155804.879,-1005.588,-0.544,-0.489,0.055,79.100,133.211,129.034,1.079,7.291,1.468,-76.455,-76.055,-0.400,-0.304,-0.505,0.201,0.040,0.164,-0.124,0.132,0.171,-0.039,0.344,0.669,-0.325,-0.132,-0.171,0.039,0.025,0.022,0.004,2.301,2.356,-0.055,-47960.306,-47708.291,-252.015,-47973.755,-47721.697,-252.058
